Wind Speed;UP86;GW82/1500;LWT90/1500;SG1700.100;WD103-2000;H93-2000;TZ2000/116;WT2000df/113;XE93-2000;HJWT2000/87;SG2.1-114;AGW 110/2.1;U120;G114/2500;WD103-2500;TZ2500/122;SG2500.131 DD;121;SG2700.116 DD;WT3000df/140;GW140/3400;V136/3450;136;SWT-3.6-130;XD140-4000;V150/4200;AGW147/4.2;U151
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;130;0;0;0;0;0;0;0;0;0;104;0;9;0;0;0;0;0
2.5;9;0;0;0;15;4;0;0;0;0;260;25;0;40;15;0;35;0;0;0;160;15;40;20;0;0;0;0
3;21;29;39;8;31;8;55;45;45;43;401;60;46;102;31;45;82;13;69;0;229;35;79;43;16;78;68;60
3.5;52;63;70;47;80;39;124;100;79;87;575;100;90;160;80;107;145;35;115;116;295;121;152;112;100;172;150;150
4;91;96;107;117;131;69;195;162;112;136;749;149;146;257;131;173;214;82;170;233;374;212;229;184;196;287;262;245
4.5;142;140;160;180;202;128;285;233;170;212;923;230;230;355;206;277;310;155;250;352;490;341;356;301;320;426;400;380
5;194;184;216;250;283;187;376;309;230;291;1097;313;322;471;283;383;409;268;333;474;617;473;485;421;449;601;554;522
5.5;270;238;297;342;389;272;498;448;310;386;1282;430;455;605;391;529;565;445;448;664;805;661;674;599;630;814;780;740
6;346;291;379;446;498;356;620;588;405;483;1467;545;592;750;499;675;723;634;566;855;1005;851;863;778;816;1069;1011;959
6.5;451;376;491;565;649;477;809;763;510;617;1662;710;780;972;651;885;956;865;735;1128;1290;1114;1128;1024;1061;1367;1308;1275
7;557;461;602;699;800;597;997;938;630;751;1857;874;970;1194;802;1095;1189;1100;906;1399;1580;1377;1392;1269;1306;1717;1604;1590
7.5;698;588;745;885;1001;757;1230;1118;790;937;1980;1050;1220;1455;1003;1371;1488;1340;1150;1770;1925;1718;1740;1585;1629;2110;2032;2012
8;838;715;888;1080;1201;916;1462;1320;961;1123;2042;1232;1469;1713;1204;1646;1786;1584;1396;2123;2253;2058;2088;1901;1951;2546;2459;2433
8.5;990;931;1055;1305;1436;1109;1732;1650;1170;1459;2085;1500;1760;1970;1440;1985;2164;1828;1714;2470;2615;2456;2459;2266;2355;3002;2924;2895
9;1163;1147;1221;1509;1671;1302;2000;1970;1379;1794;2100;1770;2033;2227;1676;2324;2390;2068;2031;2800;2967;2854;2828;2630;2759;3428;3382;3355
9.5;1332;1300;1350;1623;1890;1501;2000;2000;1620;1900;2100;1910;2215;2380;1935;2412;2472;2255;2415;3000;3283;3200;3073;2945;3190;3773;3735;3700
10;1450;1428;1431;1665;2000;1700;2000;2000;1841;1943;2100;2010;2300;2465;2193;2500;2500;2404;2623;3000;3385;3415;3313;3261;3616;4012;4062;4020
10.5;1500;1470;1480;1693;2000;1920;2000;2000;2000;1974;2100;2070;2300;2495;2400;2500;2500;2475;2700;3000;3400;3445;3420;3425;4000;4131;4175;4180
11;1500;1500;1499;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3463;3534;4000;4186;4200;4250
11.5;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3486;3580;4000;4198;4200;4285
12;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3593;4000;4200;4200;4300
12.5;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3598;4000;4200;4200;4300
13;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
13.5;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
14;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
14.5;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
15;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
15.5;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
16;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
16.5;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
17;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
17.5;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
18;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
18.5;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
19;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
19.5;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
20;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
20.5;1500;1500;1500;0;0;2000;2000;0;2000;2000;2100;0;2300;2500;2500;2500;0;2500;2700;0;0;3450;3500;3600;4000;4200;0;4300
21;1500;1500;1500;0;0;2000;2000;0;2000;2000;2049;0;2300;2500;2500;2500;0;2500;2700;0;0;3450;3500;3600;4000;4200;0;4300
21.5;1500;1500;1500;0;0;2000;2000;0;2000;2000;1982;0;2300;2500;2500;2500;0;2500;2700;0;0;3450;3500;3600;4000;4200;0;4300
22;1500;1500;1500;0;0;2000;2000;0;2000;2000;1914;0;2300;2500;2500;2500;0;2500;2700;0;0;3450;3500;3600;4000;4200;0;4300
22.5;1500;1500;1500;0;0;2000;2000;0;2000;2000;1833;0;0;2460;2500;2500;0;0;2700;0;0;0;0;3600;4000;4200;0;4300
23;1500;1500;1500;0;0;2000;2000;0;2000;2000;1751;0;0;2400;2500;2500;0;0;2700;0;0;0;0;3600;4000;0;0;4300
23.5;1500;1500;1500;0;0;2000;2000;0;2000;2000;1681;0;0;2335;2500;2500;0;0;2700;0;0;0;0;3600;4000;0;0;4300
24;1500;1500;1500;0;0;2000;2000;0;2000;2000;1610;0;0;2250;2500;2500;0;0;2700;0;0;0;0;3600;4000;0;0;4300
24.5;1500;1500;1500;0;0;2000;2000;0;2000;2000;1545;0;0;0;2500;2500;0;0;0;0;0;0;0;3600;4000;0;0;4300
25;1500;1500;1500;0;0;2000;2000;0;2000;2000;1480;0;0;0;2500;2500;0;0;0;0;0;0;0;3600;4000;0;0;4300
25.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
